PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
159,40,9,276342.8571,,,13.430722,,,12.489905,
160,40,12.12,276342.8571,,,14.816108,,,14.487843,
161,40,9,227576.4706,,,13.624265,,,12.489905,
162,40,12.79,227576.4706,,,15.009651,,,14.565975,
163,20,21.3263,4324.789773,,32.281952,,,,,33.994889
164,20,21.3263,4324.789773,,32.28012,,,,,33.994889
165,20,33.2364,11738.29049,,30.02965942,,,,,35.119027
166,20,33.2364,11738.29049,,30.02267052,,,,,35.119027
167,20,21.2465,4324.789773,,30.87506985,,,,,32.484403
168,20,21.2465,4324.789773,,30.85272362,,,,,32.484403
169,55,0.8801,175.13925,,,,,,3.518156313,4.32
170,55,0.8785,175.13925,,,,,,3.518156313,4.32
171,20,6.5036,1080,,42.64458411,,,,,32.373252
172,20,6.5036,1080,,42.64618532,,,,,32.373252
173,30,1.517,2913.05,,,2.248569,,,,1.868
174,20,13.3098,3893.3335,,32.678753,,,,,35.824889
175,20,13.3098,3893.3335,,32.4803218,,,,,35.824889
176,20,3.294,1420.889719,,5.786579817,4.966942,,,,
177,30,0.8378,1456.475309,,,1.113633,,,,1.45178
178,40,21.9464,309333.3333,,,33.043429,,,31.90674,
179,40,21.9464,309333.3333,,,31.761259,,,31.090823,
180,55,4.3164,146.8731939,,,,,1.004369645,,1.424081
181,55,4.3258,146.8731939,,,,,1.004369645,,1.424081
182,55,8.4058,110.4329439,,,,,1.088824517,,1.374754115
183,55,8.4058,110.4329439,,,,,1.088824517,,1.376631552
184,20,11.36,3080.892857,,,,18.200574,23.53084272,,
185,80,0.2751,41.86458477,8.219999636,6.484164017,,,,,
186,80,0.1842,56.25523702,5.3,3.875434425,,,,,
187,55,1.9448,187.121281,,2.230219674,,1.938532196,,,
188,55,0.883,344.0156522,,2.234596068,,1.974379322,,,
189,70,1.0564,570,,80.16,,80.52,,,
190,70,1.5299,570,,64.13,,64.23,,,
191,70,1.6741,570,,98.19,,98.29,,,
192,70,0.52,427.5,,120.46,,120.46,,,
193,55,2.522,245.9869468,,2.438385975,,1.992814636,,,
194,55,1.618,464.9058061,,2.415442183,,1.992814636,,,
195,55,1.145,176.8266,,3.076348,,2.389834233,,,
196,55,0.925,110.2716049,,2.902232,,2.364646087,,,
197,40,0.0165,2.88,,2.219999,,,,,2.22
198,20,14.0594,3075.168627,,,,,37.05673369,,50
199,20,14.8979,3331.016667,,,,,37.146026,,50.56
200,80,0.3227,162.9464282,,,,,26.80959101,,25.82018
201,80,0.0661,7.142857143,5.3,5.245462,,,,,
202,70,0.0413,233.5625,,10.3596,,,,,10.3596
203,80,19.3398,246436.3871,,,,58.335524,62.6816232,,
204,70,0.0805,13.61111111,,6.52,,,,,6.52
205,20,3.9945,168.9143678,,16.18,,,13.04077267,,
206,20,1.5451,48.85714286,,14.36666667,,,11.684075,,
207,55,3.1834,253.575,10.989385,12.552115,,,,,
208,55,3.1834,253.575,11.003104,12.552115,,,,,
209,55,3.8406,280.4106667,11.051119,13.431226,,,,,
210,80,0.516,363.1410256,,23.08170226,,22.96,,,
211,80,0.804,547.0107608,,24.41375933,,24.47,,,
212,80,1.077,958.386238,,35.64721552,,35.54865,,,
213,80,0.853,450.5328667,,49.1891625,,50.0745,,,
214,80,0.7,449.956,,50.56751904,,49.2197,,,
215,80,0.7,449.956,,37.4417314,,35.8012,,,
216,80,0.7,449.956,,23.766782,,23.6471,,,
217,70,2.904,2220,,52.40439394,,,,46.258411,
218,70,4.3274,513,,51.97,,54.7,,,
219,80,0.5291,112.5,41.1,42.563938,,,,,
220,30,0.4887,232.2895408,,17.43,,,,,18.01
221,60,0.0274,2.675865914,2.049999,1.951908,,,,,
222,20,2.8255,218.1666667,,3.170737,,,,,3.627461024
223,55,8.7302,2901.441176,,24.504483,,,,,25.353737
224,55,8.642,2901.441176,,24.518228,,,,,25.353737
225,55,7.2201,404.15,,4.566411,,,,,4.82804
226,55,7.209,404.15,,4.566411,,,,,4.82804
227,50,1.8023,66.56,,,,,1.315948,,1.9096
228,50,1.8188,66.56,,,,,1.315948,,1.9096
229,15,33.4328,19975.5,,,,356.881713,,,369.1379937
230,55,0.9294,178.5461364,,,,,1.726494,,1.6604
231,50,2.409,179.712,,,,2.231903,3.168904,,
232,50,1.2619,179.712,,,,2.231903,3.168904,,
233,50,2.6632,2622.4,,,,2.972392,2.696959,,
234,50,2.6649,2622.4,,,,2.972392,2.696959,,
235,50,0.9618,768.4040441,,,,3.013308,2.030738,,
236,50,0.9498,768.4040441,,,,3.013308,2.053648,,
237,30,0.8813,1018.131065,2.781,,,,2.667635,,
238,80,0.1411,16.07142857,,,,,11.682242,,15.52
239,60,5.6107,1928.571429,,,,,10.656792,,23.46741
240,55,0.4189,175.785948,,2.819757,,,2.878547,,
241,55,0.4189,175.785948,,2.840834,,,2.878547,,
242,55,0.2866,90.67445856,,1.464404,,,1.35693,,
243,55,0.2866,90.67445856,,1.462571,,,1.35693,,
244,20,0.2788,226.0277778,,6.221731667,,,,,5.263032
245,80,0.0961,2.53125,,,,5.177276538,,,5.22
246,60,24.438,6081.688889,,,,,28.406505,,29.785083
247,55,0.5291,2002.421875,,,,3.914217,2.731782,,
248,55,0.5291,2002.421875,,,,3.914217,2.731782,,
249,40,0.0051,0.21307265,2.304897,,,,,,2.3049
250,50,4.1237,665.6,,,,,2.707956,,5.39303
251,50,4.1237,665.6,,,,,2.707956,,5.39303
252,20,0.6627,5528.023841,,,,2.50985,2.613567,,
253,20,0.6408,265.8054764,,,,4.54511,4.451861,,
254,60,0.0066,17.51851852,,,,2.08,2.192024,2.14304,
255,55,0.115,1040.25,,20.266981,,,,,19.794174
256,55,0.1,1040.25,,18.2975,,,,,17.09391
257,50,0.9901,427.8857143,,,,,2.604403,,2.608967
258,50,0.9901,427.8857143,,,,,2.604403,,2.608967
259,55,0.2094,75.78857592,,1.830047,,,1.456709,,
260,55,0.2094,75.78857592,,1.848375,,,1.456709,,
261,55,0.485,2002.421875,,,,3.688203,2.718036,,
262,55,0.485,2002.421875,,,,3.688203,2.696043,,
263,50,1.1881,2856,,,,,3.549209,,4.1658
264,55,0.1653,60.44963904,,1.10151,,,1.193837,,
265,60,3.2045,13927.68,9.982817,,5.801416,,,,
266,50,6.3291,11685.65517,,,,,6.419368,,10.063975
267,20,70.9882,14749.09091,,,,184.5198625,,,184.5198625
268,20,30.0928,6318,,,,228.0329302,,,226.930708
269,20,0.527,3944.2,1.161177,,,,1.103343,,
270,20,0.525,3944.2,1.161177,,,,1.103343,,
271,40,2.2486,1810.285714,,,,4.027052,,,3.555647
272,55,0.8818,439.46487,,3.684836,,,4.459079,,
273,55,0.8818,439.46487,,3.858952,,,4.311801,,
274,55,0.8818,439.46487,,3.836042,,,4.311801,,
275,20,2.1791,713.2491709,3.61763,,,,2.051815,,
276,20,36.8726,2028,,36.07140905,,,27.78,,
277,20,36.7894,2028,,36.07140905,,,27.78,,
278,20,4.1226,278.64375,,15.403734,,13.373713,,,
279,55,22.1342,662.0470588,,,,5.4999,,,5.5678
280,55,22.3546,662.0470588,,,,5.4999,,,5.5678
281,55,22.3766,662.0470588,,,,5.4805,,,5.5678
282,55,22.487,662.0470588,,,,5.4805,,,5.5678
283,50,56.7464,24667.5,56.543918,,,44.718067,,,
284,50,3.9683,495,,,,4.411219,,,4.67858
285,50,20.635,5321.2,,,,17.974559,,,16.879633
286,50,20.635,5321.2,,,,17.974559,,,16.879633
287,50,7.4295,3304.536585,,,,7.75108,,,7.42356
288,55,0.8973,20602.8,,,,,2.50795225,,3.2756
289,55,0.9614,20602.8,,,,,2.50795225,,3.3882
290,50,72.7518,28655.625,57.25828,,,83.335355,,,
291,50,2.23,40425,6.605394,,,,4.015105867,,
292,20,0.5631,2.726732673,1.229198,,,,,,1.230684
293,15,4.5525,5616,,,,10.8962,,,10.8962
294,20,5.9413,1116.28,,17.155887,,14.858058,,,
295,20,12.9786,3087.0125,,31.207017,,33.376,,,
296,20,12.9786,3087.0125,,31.194188,,33.376,,,
297,60,68.1,6786.327273,,,,52.8844,,,54.6789
298,15,5.3517,6248,,38.037848,,27.4814,,,
299,60,0.0066,0.227960804,1.972001,,,,,,1.972
300,60,5.4012,248.3353293,,,,2.529528,,,2.632215
301,60,5.4012,248.3353293,,,,2.529528,,,2.632215
302,30,0.3417,75,,,,2.87429,3.00212,,
303,55,0.4205,63.9602908,,20.653778,,,,,22.576236
304,55,0.5046,66.67237395,,23.555094,,,,,25.066034
305,60,0.4674,209.2307692,,,,1.04,,,1.04
306,15,0.7078,1421.888889,,1.4053882,,,,,1.670952
307,80,0.593,75,,,,9.100298,9.714735,,
308,50,8.9728,272.2909091,,,,3.68492,,,3.599534
309,50,9.061,272.2909091,,,,3.684919,,,3.599534
310,20,0.0641,30.80327586,,1.08135,,1.068217,,,
311,20,2.359,1366.44,,,,5.237057,,,5.808925
312,20,2.833,1215.9,,,,6.584495,,,7.513998
313,40,1.6754,1398.857143,,,,3.725964,,,3.456354
314,60,0.2426,136.0714286,,,,1.387733,,,1.7315
315,20,17.2841,14846.525,,,,21.319172,,,21.835485
316,80,0.0972,85.85115385,,,13.952083,,,,16.38
317,20,10.8796,3087.0125,,30.362099,,33.547497,,,
318,20,10.8796,3087.0125,,30.3566,,33.547497,,,
319,50,1.69,20800,3.352732,,,,2.628229,,4.084577
