PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
468.0,40.0,1.7637,1928.57,9.11006,9.83256,9.25778,9.5059,9.11856,8.88777,9.42685
469.0,40.0,1.7637,1928.57,9.11006,9.83256,9.25778,9.5059,9.11856,8.88777,9.42685
470.0,60.0,0.2646,136.071,1.82102,1.65653,1.83928,1.38773,1.45165,1.33058,1.7315
471.0,40.0,3.329,1090.91,9.74978,10.0938,9.99899,8.12772,11.0501,7.50958,10.0666
472.0,40.0,3.329,1090.91,10.7926,11.1366,11.0418,8.12772,12.0929,7.50958,11.1094
473.0,40.0,3.329,1090.91,9.74978,10.0938,9.99899,8.12772,11.0501,7.50958,10.0666
474.0,50.0,16.8078,7428.57,7.30346,7.37266,6.15036,7.30346,6.3326,6.68532,7.35054
475.0,50.0,14.784,7428.57,7.30346,7.37266,6.15036,7.30346,6.3326,6.68532,7.35054
476.0,40.0,6.0075,9382.43,32.1805,34.2846,33.4486,34.5696,37.2347,33.9515,35.3666
477.0,40.0,6.0075,9382.43,32.1805,34.2846,33.4486,34.5696,37.2347,33.9515,35.3666
478.0,40.0,2.1385,524.4,24.4742,25.8061,24.8512,24.791,24.7444,24.6539,24.791
479.0,40.0,2.1385,524.4,24.4742,25.8061,24.8512,24.791,24.7444,24.6539,24.791
480.0,40.0,1.94,524.4,22.631,22.9971,23.008,22.9478,22.9012,22.8107,22.9478
481.0,40.0,2.3545,524.4,26.4579,27.7897,26.8349,26.7747,26.7281,26.6376,26.7747
482.0,40.0,2.3545,524.4,26.4579,27.7897,26.8349,26.7747,26.7281,26.6376,26.7747
483.0,60.0,38.6136,27097.2,172.507,172.922,161.247,164.004,166.669,163.386,174.495
484.0,70.0,4.718,4208.98,80.1967,79.2474,77.9155,79.93,73.4584,76.1744,79.93
485.0,80.0,117.618,1389.94,40.7834,33.775,33.5167,34.8705,33.8526,34.2524,34.8705
486.0,40.0,39.6828,18907.4,54.585,64.5479,57.2059,58.3016,66.5825,58.4226,58.5597
487.0,60.0,23.8318,3734.86,20.9932,21.2869,21.5003,17.6346,21.9088,17.0165,21.31
